Table 8,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2022",,,,,,,,,,,,
State,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Great Falls,"1,935",14,0,0,2,12,73,15,52,6,0
,Greenville,"73,311",397,4,24,55,314,"2,696",274,"2,156",266,5
,Greenwood,"22,145",182,58,18,19,87,898,169,689,40,8
,Greer,"42,196",107,0,9,12,86,850,93,688,69,1
,Hampton,"2,727",13,0,2,2,9,110,29,71,10,1
,Hanahan,"22,320",88,0,18,9,61,323,39,250,34,2
,Hardeeville,"9,995",24,0,2,6,16,253,32,206,15,0
,Hartsville,"7,614",133,1,4,15,113,528,73,435,20,1
,Hemingway,489,3,0,0,2,1,33,3,30,0,0
,Holly Hill,"1,254",14,0,0,0,14,44,4,33,7,0
,Honea Path,"3,793",10,0,1,0,9,63,3,50,10,0
,Inman,"3,111",11,0,0,2,9,45,2,38,5,0
,Irmo,"11,937",55,1,6,8,40,396,59,317,20,2
,Isle of Palms,"4,284",12,0,1,0,11,55,6,45,4,0
,Iva,"1,154",9,0,0,0,9,66,13,45,8,0
,Jamestown,71,1,0,0,1,0,3,1,2,0,0
,Johnsonville,"1,358",2,0,1,0,1,18,5,11,2,0
,Johnston,"2,081",5,0,1,1,3,45,9,32,4,0
,Jonesville,832,6,0,2,1,3,17,5,10,2,0
,Kingstree,"3,122",24,0,1,1,22,118,13,92,13,0
,Lake City,"5,946",123,2,7,6,108,223,52,150,21,2
,Landrum,"2,587",9,0,1,2,6,47,8,34,5,0
,Lane,473,0,0,0,0,0,1,0,1,0,0
,Latta,"1,270",7,0,0,0,7,45,5,36,4,0
,Laurens,"9,307",58,0,5,2,51,285,32,238,15,0
,Lexington,"24,880",60,3,6,3,48,409,34,351,24,0
,Liberty,"3,310",8,0,3,0,5,76,7,56,13,2
,Loris,"2,676",14,0,0,0,14,64,5,56,3,0
,Lyman,"6,437",17,0,0,1,16,53,6,43,4,0
,Manning,"3,830",48,0,2,2,44,278,46,225,7,0
,Marion,"6,232",63,5,0,6,52,337,63,260,14,0
,Mauldin,"26,576",78,1,15,12,50,498,67,375,56,3
,McBee,760,0,0,0,0,0,0,0,0,0,0
,McColl,"2,051",32,0,2,1,29,70,23,43,4,2
,McCormick,"2,252",1,0,0,0,1,47,8,35,4,0
,Moncks Corner,"13,906",86,1,4,6,75,392,49,309,34,1
,Mount Pleasant,"93,951",119,0,17,12,90,"1,332",129,"1,016",187,3
,Mullins,"3,884",36,2,3,5,26,160,53,97,10,3
,Myrtle Beach,"38,117",386,6,68,65,247,"2,553",218,"2,138",197,7
,Newberry,"10,507",68,5,8,3,52,291,38,241,12,4
,Ninety Six,"2,074",5,0,1,0,4,25,2,23,0,0
,North,680,0,0,0,0,0,36,6,28,2,0
,North Augusta,"24,957",42,4,8,13,17,570,61,476,33,1
,North Charleston,"119,198","1,123",33,83,228,779,"5,728",565,"4,455",708,24
,North Myrtle Beach,"19,888",89,2,11,12,64,864,75,733,56,1
,Olanta,538,0,0,0,0,0,0,0,0,0,0
,Orangeburg,"12,307",209,10,12,28,159,755,203,522,30,10
,Pacolet,"2,375",10,0,1,1,8,25,4,19,2,0
,Pageland,"2,436",50,0,1,2,47,112,21,84,7,0
,Pamplico,"1,046",14,1,4,3,6,35,10,23,2,0
,Pelion,622,4,0,1,0,3,26,4,21,1,0
,Pendleton,"3,608",15,0,2,0,13,96,19,66,11,0
,Pickens,"3,365",20,0,2,0,18,120,3,113,4,0
,Pine Ridge,"2,267",1,0,0,1,0,16,4,10,2,0
,Port Royal,"13,430",35,0,5,5,25,168,16,136,16,0
,Quinby,904,0,0,0,0,0,1,0,1,0,0
,Ridgeland,"3,680",3,1,0,0,2,47,9,38,0,0
,Ridge Spring,577,11,0,2,0,9,5,0,3,2,0
,Ridgeville,"1,539",0,0,0,0,0,0,0,0,0,0
,Rock Hill,"74,047",355,8,25,22,300,"1,984",194,"1,627",163,8
,Salem,121,0,0,0,0,0,3,0,3,0,0
,Saluda,"3,025",13,0,4,0,9,31,5,25,1,0
,Santee,780,17,0,1,2,14,73,14,54,5,0
,Seneca,"8,964",59,0,8,4,47,192,30,144,18,0
,Simpsonville,"25,847",81,0,10,8,63,949,87,820,42,3
,South Congaree,"2,391",17,0,3,0,14,89,16,66,7,1
,Spartanburg,"38,271",457,2,39,42,374,"2,247",391,"1,665",191,19
,Springdale,"2,749",28,1,1,1,25,66,9,41,16,1
,Springfield,438,1,0,0,0,1,16,7,8,1,0
,St. George,"1,774",12,0,1,0,11,76,17,48,11,0
,St. Stephen,"1,533",11,0,1,1,9,77,12,58,7,0
,Sullivan's Island,"1,870",0,0,0,0,0,18,4,14,0,0
,Summerton,793,6,0,0,1,5,47,5,39,3,0
,Summerville,"51,423",188,2,28,23,135,"1,378",118,"1,106",154,7
,Sumter,"42,613",376,6,10,24,336,"1,372",181,"1,076",115,5
,Surfside Beach,"4,301",10,0,2,2,6,152,12,125,15,0
,Swansea,737,8,0,0,1,7,84,4,78,2,0
,Tega Cay,"13,607",6,0,1,0,5,141,11,129,1,0
,Timmonsville,"2,085",41,0,0,3,38,77,13,53,11,1
,Travelers Rest,"7,836",1,0,0,0,1,219,16,194,9,0
,Union,"7,977",87,0,6,8,73,431,66,333,32,0
,Walhalla,"4,121",11,1,1,2,7,61,8,48,5,1
,Walterboro,"5,432",52,1,2,5,44,397,30,348,19,3
,Wellford,"3,478",3,0,3,0,0,30,0,22,8,0
,West Columbia,"17,581",129,2,5,19,103,971,93,799,79,1
,Westminster,"2,374",13,0,1,1,11,95,23,68,4,3
,Whitmire,"1,418",5,0,0,0,5,52,3,48,1,0
,Williamston,"4,172",26,0,0,3,23,116,9,95,12,0
,Williston,"2,882",16,4,1,2,9,130,26,96,8,0
,Winnsboro,"3,126",12,1,0,0,11,73,19,49,5,0
,Woodruff,"4,372",21,0,0,4,17,138,63,64,11,2
,Yemassee,"1,149",13,0,0,2,11,37,3,25,9,0
,York,"8,699",60,1,3,7,49,342,44,281,17,0
SOUTH DAKOTA,Aberdeen,"28,206",103,0,27,2,74,441,83,325,33,5
,Belle Fourche,"5,799",7,0,0,0,7,74,5,66,3,0
,Beresford,"2,112",2,0,0,0,2,34,9,21,4,0
,Box Elder,"12,710",51,1,15,2,33,184,23,132,29,1
,Brandon,"10,914",6,0,0,0,6,67,11,49,7,1
,Brookings,"23,725",42,0,12,1,29,311,29,270,12,0
,Canton,"3,033",12,0,7,0,5,34,5,27,2,0
,Chamberlain,"2,451",12,0,0,0,12,78,10,63,5,0
,Deadwood,"1,255",11,0,0,0,11,40,1,38,1,0
,Flandreau,"2,338",6,0,0,0,6,34,10,22,2,0
,Hot Springs,"3,605",10,0,0,0,10,6,0,6,0,0
,Madison,"5,967",8,0,4,0,4,40,5,33,2,0
,Martin,957,9,0,3,0,6,42,6,32,4,0
,Mitchell,"15,579",51,0,14,1,36,387,24,318,45,4
,Mobridge,"3,154",4,0,0,0,4,20,2,16,2,1
,North Sioux City,"2,987",9,0,0,0,9,51,2,44,5,0
,Pierre,"13,977",69,1,20,5,43,248,30,200,18,0
,Rapid City,"78,063",532,5,97,65,365,"2,799",475,"1,921",403,3
,Sioux Falls,"199,879","1,092",7,75,140,870,"6,162",738,"4,345","1,079",35
,Sisseton,"2,389",10,0,1,0,9,2,0,2,0,0
,Spearfish,"12,517",31,1,16,1,13,296,26,252,18,0
,Sturgis,"7,121",31,0,4,1,26,187,59,113,15,0
,Tea,"6,894",14,0,1,0,13,96,13,64,19,0
,Wagner,"1,425",1,1,0,0,0,1,1,0,0,0
,Watertown,"22,832",50,0,21,1,28,356,68,257,31,0
,Yankton,"15,507",62,1,15,0,46,402,29,353,20,1
TENNESSEE,Adamsville,"2,244",15,0,2,1,12,30,10,18,2,0
,Alamo,"2,335",7,0,0,1,6,25,5,17,3,1
,Alcoa,"11,689",47,1,8,3,35,246,23,189,34,0
,Algood,"4,012",11,0,0,0,11,60,3,50,7,0
,Ashland City,"5,152",23,0,0,1,22,130,16,100,14,1
,Athens,"14,409",114,0,9,7,98,803,125,602,76,2
,Atoka,"10,345",21,0,1,1,19,50,9,38,3,0
,Bartlett,"56,928",137,1,17,16,103,"1,111",86,900,125,6
,Baxter,"1,677",1,0,0,0,1,25,4,17,4,0
,Belle Meade,"2,593",0,0,0,0,0,24,5,17,2,0
,Bells,"2,501",15,0,3,0,12,21,4,15,2,2
,Benton,"1,506",4,0,1,0,3,35,1,32,2,0
,Berry Hill,"1,865",3,0,0,1,2,85,9,73,3,0
,Big Sandy,484,0,0,0,0,0,2,1,1,0,0
,Blaine,"2,103",6,0,1,0,5,21,1,15,5,0
,Bluff City,"1,820",7,0,0,0,7,21,3,11,7,0
,Bolivar,"5,127",98,3,2,1,92,88,29,50,9,0
,Brentwood,"45,581",31,2,10,2,17,384,43,320,21,0
,Brighton,"2,858",10,0,1,0,9,17,3,11,3,0
,Bristol,"27,862",140,0,16,4,120,640,85,479,76,2
,Brownsville,"9,578",120,2,4,5,109,228,45,159,24,0
,Bruceton,"1,496",2,0,0,0,2,21,1,16,4,0
,Camden,"3,711",10,0,0,1,9,59,6,51,2,0
,Carthage,"2,276",5,0,0,0,5,112,8,103,1,0
,Caryville,"2,179",12,0,1,0,11,38,5,27,6,0
,Centerville,"3,569",7,0,0,0,7,45,10,30,5,1
,Chapel Hill,"1,780",5,0,1,1,3,16,0,15,1,0
,Charleston,678,1,0,0,1,0,6,3,3,0,0
,Chattanooga,"182,603","2,077",24,166,218,"1,669","9,534","1,066","7,108","1,360",23
,Church Hill,"7,105",21,0,1,0,20,25,4,19,2,4
,Clarksville,"174,738",871,11,93,68,699,"3,493",514,"2,537",442,9
,Cleveland,"48,579",352,1,17,26,308,"1,650",172,"1,336",142,5
,Clinton,"10,050",48,0,3,4,41,232,25,182,25,3
,Collegedale,"12,032",12,0,2,1,9,184,5,170,9,0
,Collierville,"51,439",76,0,9,9,58,611,50,533,28,1
,Columbia,"44,852",306,2,17,24,263,940,121,708,111,6
,Cookeville,"35,771",88,2,7,8,71,834,96,652,86,2
,Coopertown,"4,702",3,0,0,0,3,37,9,26,2,0
,Cornersville,"1,267",2,0,0,0,2,11,7,3,1,0
,Covington,"8,582",92,2,4,7,79,169,29,116,24,0
,Cowan,"1,779",10,0,1,0,9,22,1,19,2,0
,Crossville,"12,487",87,1,10,3,73,438,73,345,20,3
,Dandridge,"3,475",17,0,1,1,15,60,6,52,2,0
,Dayton,"7,170",17,0,1,0,16,153,23,114,16,0
,Decatur,"1,646",24,0,3,0,21,44,2,38,4,0
,Decherd,"2,369",13,0,1,0,12,40,4,28,8,0
,Dickson,"16,154",118,1,11,1,105,384,26,316,42,0
,Dover,"1,768",1,0,0,0,1,4,0,2,2,0
,Dresden,"3,026",4,0,1,0,3,37,8,28,1,0
,Dunlap,"5,644",20,0,0,1,19,100,11,69,20,0
,Dyer,"2,312",4,1,0,0,3,24,2,22,0,0
,Dyersburg,"15,988",183,4,14,6,159,801,176,572,53,3
,East Ridge,"21,790",132,1,11,8,112,477,63,341,73,4
,Elizabethton,"13,868",42,1,0,0,41,269,26,229,14,1
,Englewood,"1,519",3,0,0,0,3,18,3,12,3,0
,Erin,"1,209",2,0,0,0,2,5,1,4,0,0
,Erwin,"5,931",3,0,0,0,3,33,5,22,6,0
,Estill Springs,"2,266",13,0,0,1,12,25,6,17,2,0
,Etowah,"3,668",15,0,2,0,13,50,1,43,6,0
,Fairview,"9,844",18,1,3,1,13,50,7,37,6,0
,Fayetteville,"6,942",85,3,4,3,75,202,25,161,16,0
,Franklin,"87,081",170,0,19,9,142,899,101,733,65,0
,Gallatin,"49,220",125,0,12,10,103,331,35,267,29,1
,Gallaway,502,4,0,0,0,4,11,0,10,1,0
,Gatlinburg,"3,873",18,1,4,2,11,127,20,94,13,0
,Germantown,"40,859",69,0,4,6,59,625,28,527,70,2
,Gleason,"1,407",2,0,0,0,2,24,6,17,1,0
,Goodlettsville,"16,963",43,0,3,10,30,317,35,232,50,0
,Greenbrier,"6,963",38,1,3,1,33,36,13,16,7,1
,Greeneville,"15,556",55,2,7,2,44,481,57,365,59,1
,Greenfield,"2,083",8,0,0,0,8,21,7,11,3,0
,Halls,"2,076",12,0,1,1,10,47,8,33,6,0
,Harriman,"5,984",6,0,1,0,5,99,12,76,11,0
,Henderson,"6,372",29,0,1,1,27,67,11,48,8,0
,Hendersonville,"62,475",85,3,2,3,77,522,38,446,38,3
,Hohenwald,"3,882",8,0,0,0,8,71,4,61,6,0
,Humboldt,"7,831",74,0,7,3,64,143,36,96,11,3
,Huntingdon,"4,432",9,0,0,0,9,51,1,47,3,1
,Jacksboro,"2,313",2,0,0,0,2,53,2,48,3,1
,Jackson,"68,059",612,9,28,55,520,"1,973",249,"1,525",199,7
,Jamestown,"1,920",11,0,2,0,9,51,11,39,1,0
,Jasper,"3,626",9,0,0,1,8,38,4,24,10,0
,Jefferson City,"8,319",23,0,0,2,21,153,31,111,11,1
,Jellico,"2,131",8,0,0,0,8,33,4,20,9,1
,Johnson City,"71,987",270,3,55,24,188,"2,461",229,"2,048",184,18
,Jonesborough,"6,081",5,0,1,0,4,90,7,70,13,2
,Kenton,"1,184",6,1,1,0,4,14,1,11,2,0
,Kimball,"1,578",13,0,0,1,12,60,4,52,4,0
,Kingsport,"55,799",439,2,42,28,367,"2,271",255,"1,706",310,11
,Kingston,"6,067",3,0,0,0,3,47,5,37,5,0
,Knoxville,"194,724","1,640",32,151,179,"1,278","7,609",874,"5,780",955,4
,Lafayette,"5,650",19,0,3,0,16,160,12,139,9,0
,La Follette,"7,271",24,0,0,0,24,110,22,69,19,1
,La Vergne,"39,424",150,1,12,16,121,557,35,435,87,1
,Lawrenceburg,"11,874",48,0,3,3,42,272,50,205,17,0
,Lebanon,"43,321",196,1,23,14,158,712,105,536,71,2
,Lenoir City,"10,597",41,0,1,2,38,254,17,224,13,0
,Lewisburg,"12,659",67,1,8,2,56,255,39,191,25,4
,Lexington,"7,944",24,1,2,0,21,184,29,134,21,1
,Livingston,"4,047",12,0,1,0,11,55,4,43,8,0
,Loretto,"1,783",2,0,0,0,2,15,6,6,3,0
,Loudon,"6,479",1,0,1,0,0,32,9,22,1,0
,Madisonville,"5,118",26,0,1,0,25,160,17,133,10,1
,Manchester,"13,045",71,0,5,5,61,327,67,236,24,1
,Martin,"10,562",48,1,0,5,42,241,39,193,9,0
,Maryville,"32,717",60,1,12,0,47,291,40,229,22,2
,Maynardville,"2,507",6,0,0,0,6,21,0,20,1,0
,McEwen,"1,735",1,0,0,0,1,12,6,6,0,0
,McKenzie,"5,451",21,0,2,0,19,99,30,63,6,0
,McMinnville,"13,952",70,0,16,4,50,307,35,253,19,1
,Medina,"5,338",6,0,1,0,5,28,5,19,4,0
,Memphis,"624,944","15,129",269,397,"2,324","12,139","44,783","6,022","27,837","10,924",329
,Metropolitan Nashville Police Department,"679,562","7,491",83,385,"1,224","5,799","25,991","3,470","19,534","2,987",88
,Milan,"8,167",41,0,2,0,39,184,49,121,14,1
,Millersville,"6,239",18,0,2,0,16,33,3,25,5,1
,Millington,"10,461",78,0,2,8,68,429,96,295,38,0
,Monteagle,"1,375",4,0,0,0,4,36,11,22,3,0
,Monterey,"2,750",3,0,0,0,3,35,9,17,9,0
,Morristown,"30,988",223,0,15,14,194,"1,141",132,851,158,6
,Mosheim,"2,488",8,0,1,0,7,59,10,39,10,0
,Mountain City,"2,467",15,0,0,0,15,41,7,30,4,0
,Mount Carmel,"5,522",11,0,1,0,10,58,11,37,10,0
,Mount Pleasant,"4,871",30,0,4,1,25,68,12,44,12,1
,Munford,"6,466",10,0,3,0,7,73,13,51,9,1
,Murfreesboro,"161,810",827,9,114,59,645,"3,415",291,"2,762",362,6
,Newbern,"3,296",14,0,2,1,11,61,6,53,2,1
,New Johnsonville,"1,851",5,0,1,0,4,7,0,6,1,0
,New Market,"1,369",2,0,0,0,2,2,0,2,0,0
,Newport,"6,972",31,0,4,1,26,397,26,342,29,0
,New Tazewell,"2,802",6,1,0,0,5,39,6,31,2,0
,Nolensville,"16,990",15,0,2,1,12,56,8,45,3,0
,Oakland,"10,004",10,2,0,0,8,23,3,17,3,0
,Oak Ridge,"32,243",102,1,14,3,84,572,52,481,39,2
,Oliver Springs,"3,305",7,1,0,0,6,34,9,19,6,0
,Oneida,"3,793",23,0,2,0,21,111,8,95,8,0
,Paris,"10,371",37,1,0,1,35,272,35,224,13,0
,Parsons,"2,074",3,0,0,0,3,29,6,21,2,0
,Pigeon Forge,"6,340",52,0,10,5,37,250,29,191,30,2
,Pikeville,"1,889",4,0,0,0,4,28,5,22,1,0
,Pleasant View,"5,379",15,0,0,4,11,55,2,44,9,0
,Portland,"13,460",35,0,4,2,29,103,24,68,11,3
,Pulaski,"8,240",37,1,7,1,28,249,29,196,24,5
,Red Bank,"11,862",48,1,1,4,42,96,21,60,15,0
,Ripley,"7,772",158,4,2,5,147,211,53,143,15,2
,Rockwood,"5,571",41,0,4,3,34,257,37,198,22,3
,Rocky Top,"3,594",14,0,1,0,13,66,8,48,10,3
,Rogersville,"4,665",16,0,2,1,13,127,24,94,9,0
,Savannah,"7,207",39,0,1,0,38,273,50,203,20,0
,Selmer,"4,419",25,0,1,1,23,110,10,86,14,1
,Sevierville,"19,021",125,2,15,3,105,706,40,620,46,0
,Shelbyville,"24,160",136,2,24,4,106,484,81,334,69,1
,Signal Mountain,"8,824",1,0,0,0,1,27,1,24,2,0
,Smithville,"5,242",20,1,1,0,18,114,18,87,9,0
,Smyrna,"57,595",153,2,17,12,122,"1,092",69,888,135,2
,Soddy-Daisy,"13,112",27,1,1,0,25,199,30,153,16,0
,Somerville,"3,470",22,0,1,1,20,46,10,32,4,0
,South Fulton,"2,178",13,0,0,0,13,30,8,19,3,0
,South Pittsburg,"3,065",6,1,0,0,5,14,4,8,2,0
,Sparta,"4,993",5,1,0,0,4,116,18,88,10,0
,Spencer,"1,592",0,0,0,0,0,1,0,1,0,0
,Springfield,"19,330",97,1,4,3,89,231,16,182,33,0
,Spring Hill,"56,232",59,2,10,3,44,460,32,402,26,2
,Sweetwater,"6,345",33,1,1,2,29,145,15,111,19,2
,Tazewell,"2,360",14,0,1,0,13,54,9,39,6,0
,Tiptonville,"4,071",17,0,0,1,16,37,10,23,4,1
,Townsend,598,0,0,0,0,0,8,2,6,0,0
,Tracy City,"1,424",6,0,1,1,4,32,0,24,8,2
,Tullahoma,"20,948",105,2,8,1,94,462,48,379,35,5
,Unicoi,"3,763",10,0,0,0,10,14,2,11,1,0
,Union City,"10,996",95,0,9,1,85,446,52,355,39,1
,Vonore,"1,600",16,0,0,1,15,50,8,40,2,0
,Wartburg,897,1,0,0,0,1,14,1,11,2,0
,Watertown,"1,556",5,0,0,0,5,7,2,5,0,0
,Waynesboro,"2,353",14,0,1,1,12,24,1,19,4,0
,Westmoreland,"2,740",8,0,1,0,7,4,0,2,2,0
,White Bluff,"4,065",12,0,1,0,11,22,2,13,7,0
,White House,"14,290",23,0,5,0,18,205,23,169,13,0
,White Pine,"2,583",9,3,0,0,6,42,3,36,3,0
,Whitwell,"1,612",4,0,0,0,4,21,5,10,6,0
,Winchester,"9,703",56,0,3,2,51,255,37,203,15,3
,Woodbury,"2,713",2,0,0,0,2,18,1,17,0,1
TEXAS,Abernathy,"2,783",5,0,0,0,5,12,8,0,4,0
,Abilene,"125,186",587,7,107,82,391,"2,498",446,"1,854",198,10
,Addison,"17,531",83,1,15,12,55,"1,424",115,"1,074",235,2
,Alamo,"20,383",116,1,20,14,81,839,153,638,48,1
,Alamo Heights,"7,412",11,0,3,3,5,240,25,202,13,0
,Alba,493,0,0,0,0,0,7,5,2,0,0
,Alice,"17,727",175,5,11,5,154,668,145,474,49,10
,Alma,407,0,0,0,0,0,0,0,0,0,0
,Alpine,"5,757",8,0,1,0,7,10,3,7,0,2
,Alton,"19,391",95,0,1,6,88,210,32,157,21,1
,Alvarado,"5,504",31,0,5,2,24,75,3,59,13,1
,Alvin,"27,974",73,0,12,8,53,481,67,368,46,1
,Amarillo,"201,572","1,537",23,197,199,"1,118","6,997","1,166","4,899",932,53
,Andrews,"13,233",65,1,4,0,60,192,22,154,16,1
,Angleton,"19,369",52,1,14,4,33,279,57,175,47,2
,Anna,"23,541",29,0,8,7,14,211,35,159,17,2
,Anthony,"3,662",9,0,2,3,4,40,0,30,10,0
,Aransas Pass,"8,056",45,3,7,4,31,244,53,166,25,0
,Archer City,"1,593",1,0,1,0,0,8,4,2,2,0
,Arcola,"2,260",11,0,2,3,6,24,7,12,5,0
,Argyle,"4,986",1,0,1,0,0,22,2,19,1,0
,Arlington,"391,591","2,272",16,336,276,"1,644","9,886","1,024","7,625","1,237",18
,Arp,953,0,0,0,0,0,12,4,7,1,0
,Athens,"12,986",44,1,7,2,34,225,36,160,29,1
,Atlanta,"5,443",13,1,4,1,7,80,14,56,10,0
,Aubrey,"7,873",15,0,4,2,9,84,23,54,7,0
,Austin,"965,234","5,215",69,528,939,"3,679","34,650","4,816","24,481","5,353",149
,Azle,"13,615",39,1,12,5,21,310,35,246,29,0
,Baird,"1,529",0,0,0,0,0,12,6,5,1,0
,Balch Springs,"26,973",129,3,14,26,86,810,92,472,246,1
,Balcones Heights,"2,709",43,0,0,8,35,282,38,195,49,3
,Ballinger,"3,577",10,0,0,0,10,68,49,17,2,0
,Bangs,"1,541",3,0,0,0,3,2,1,0,1,0
,Bastrop,"11,101",51,0,5,5,41,331,16,277,38,5
,Bay City,"17,796",66,1,8,11,46,594,92,478,24,1
,Baytown,"81,477",358,2,58,68,230,"3,182",438,"2,225",519,1
,Beaumont,"110,898","1,198",18,105,257,818,"4,305",971,"2,973",361,25
,Bedford,"48,579",102,1,21,18,62,"1,072",115,856,101,2
,Bee Cave,"8,870",12,0,2,0,10,158,20,123,15,0
,Beeville,"13,592",57,0,6,7,44,709,426,252,31,3
,Bellaire,"16,783",27,0,4,16,7,368,47,259,62,0
,Bellmead,"10,589",41,1,11,5,24,292,50,199,43,4
,Bells,"1,557",1,0,0,0,1,2,1,0,1,0
,Bellville,"4,066",25,0,8,0,17,38,5,25,8,0
,Belton,"24,188",39,3,14,6,16,506,42,445,19,2
,Benbrook,"24,739",54,2,12,9,31,278,20,236,22,2
,Bertram,"1,913",3,0,0,0,3,10,3,5,2,0
,Beverly Hills,"1,867",14,0,3,0,11,57,16,33,8,1
,Big Sandy,"1,295",9,0,2,1,6,13,5,6,2,0
,Big Spring,"25,254",172,5,15,15,137,543,118,378,47,3
,Blanco,"1,870",9,0,2,0,7,19,3,13,3,0
,Blue Mound,"2,325",3,0,0,0,3,7,2,2,3,0
,Boerne,"20,488",22,0,6,1,15,311,89,177,45,0
,Bogata,"1,098",3,0,2,1,0,18,3,14,1,0
,Borger,"12,366",54,0,14,1,39,213,97,93,23,0
,Bovina,"1,706",3,0,0,0,3,5,2,3,0,0
,Bowie,"5,659",7,0,0,2,5,163,91,60,12,2
,Brady,"4,998",4,1,1,0,2,71,25,36,10,0
,Brazoria,"2,823",5,0,1,0,4,54,5,40,9,0
,Breckenridge,"5,294",15,0,1,2,12,69,17,43,9,2
,Bremond,862,1,0,0,0,1,77,77,0,0,0
,Brenham,"18,785",69,0,9,0,60,277,42,203,32,0
,Bridge City,"9,495",7,0,2,1,4,68,10,48,10,0
,Bridgeport,"6,186",13,0,1,1,11,84,27,50,7,0
,Brookshire,"5,739",24,1,2,4,17,54,7,39,8,0
,Brownfield,"8,877",46,0,8,1,37,111,31,66,14,2
,Brownsville,"188,906",817,4,71,127,615,"3,467",398,"2,880",189,18
,Brownwood,"18,751",72,2,14,4,52,440,78,327,35,2
,Bruceville-Eddy,"1,428",3,0,1,0,2,18,10,6,2,0
,Buda,"16,000",33,0,2,3,28,353,28,279,46,2
,Buffalo,"1,812",5,1,0,0,4,30,10,19,1,0
,Bullard,"4,062",4,0,0,0,4,26,8,17,1,0
,Bulverde,"6,268",12,0,0,1,11,140,10,124,6,0
,Burkburnett,"11,057",21,1,11,0,9,52,14,32,6,1
,Burleson,"55,356",138,1,39,7,91,659,53,553,53,1
,Burnet,"6,861",23,1,2,0,20,62,11,44,7,0
,Cactus,"3,058",10,0,2,1,7,28,4,17,7,0
,Caddo Mills,"3,568",8,0,2,2,4,21,9,9,3,0
,Caldwell,"4,249",2,0,0,1,1,35,10,22,3,0
,Calvert,965,4,0,2,0,2,19,9,9,1,0
,Cameron,"5,415",14,0,0,1,13,32,12,15,5,0
,Canton,"4,408",11,1,1,2,7,147,49,84,14,2
,Canyon,"15,680",26,0,2,2,22,125,23,97,5,3
,Carrollton,"133,610",276,3,44,49,180,"2,219",271,"1,734",214,2
,Carthage,"6,558",29,0,3,4,22,231,20,197,14,1
,Castle Hills,"3,921",20,3,0,5,12,249,44,163,42,1
,Castroville,"3,052",1,0,0,0,1,73,20,48,5,0
,Cedar Hill,"48,483",81,3,13,10,55,913,68,728,117,2
,Cedar Park,"79,353",85,1,33,7,44,"1,049",86,886,77,0
,Celina,"24,190",19,0,4,1,14,214,21,190,3,3
,Center,"5,111",23,0,3,1,19,112,26,81,5,1
,Chandler,"3,529",2,0,1,0,1,21,4,16,1,0
,Childress,"5,915",11,0,3,0,8,38,22,11,5,2
,China Grove,"1,128",3,0,0,1,2,15,2,8,5,0
,Cibolo,"34,159",45,0,14,3,28,500,108,353,39,0
,Cisco,"3,902",7,0,3,0,4,55,21,29,5,0
,Cleburne,"32,728",60,2,22,4,32,345,61,265,19,2
,Clifton,"3,526",7,0,0,1,6,10,2,6,2,0
,Clute,"10,557",44,0,12,6,26,327,123,175,29,0
,Clyde,"4,038",5,0,1,1,3,33,15,16,2,0
,Cockrell Hill,"3,687",7,0,0,1,6,86,18,43,25,0
,Coffee City,246,3,0,0,0,3,4,1,0,3,0
,Coleman,"3,943",6,0,2,1,3,20,6,9,5,0
,College Station,"121,618",248,1,89,16,142,"2,342",251,"1,905",186,0
,Colleyville,"25,897",15,0,9,0,6,113,10,100,3,0
,Collinsville,"1,993",4,0,0,0,4,0,0,0,0,0
,Columbus,"3,598",7,1,3,0,3,52,3,44,5,1
,Comanche,"4,276",10,0,2,0,8,80,13,59,8,4
,Combes,"3,071",8,0,2,0,6,38,7,22,9,0
,Commerce,"8,876",35,0,5,0,30,168,25,124,19,1
,Conroe,"98,623",314,3,59,35,217,"2,001",225,"1,561",215,3
,Converse,"29,503",111,1,6,5,99,492,122,323,47,1
,Coppell,"42,021",40,1,13,2,24,580,50,502,28,0
,Copperas Cove,"37,841",120,2,35,8,75,654,89,506,59,9
,Corinth,"22,719",19,0,4,1,14,179,9,148,22,0
,Corpus Christi,"317,694","2,512",41,240,355,"1,876","9,915","1,593","7,478",844,84
,Corrigan,"1,487",0,0,0,0,0,24,4,13,7,0
,Corsicana,"25,585",157,6,26,11,114,536,64,422,50,7
,Crandall,"4,671",32,0,5,6,21,139,37,86,16,0
,Crane,"3,485",2,0,1,0,1,9,7,2,0,0
,Crockett,"6,428",28,0,6,7,15,205,31,153,21,0
,Crowley,"20,362",47,1,11,2,33,300,42,238,20,0
,Cuero,"8,271",54,1,0,2,51,114,14,91,9,0
,Cuney,115,1,0,0,0,1,0,0,0,0,0
,Daingerfield,"2,520",11,1,0,1,9,41,7,30,4,0
,Dalhart,"8,410",21,0,2,3,16,55,12,29,14,1
,Dallas,"1,286,121","10,009",157,492,"2,134","7,226","49,037","6,787","28,878","13,372",186
,Dayton,"9,451",27,2,2,5,18,147,31,89,27,2
,Decatur,"7,147",31,0,5,5,21,204,5,188,11,1
,Deer Park,"33,022",37,0,10,3,24,512,62,409,41,0
